Product code,Bureau of Meteorology station number,Year,Month, Temperature,Quality
IDCJAC0002,23034,1999,4,20.7,Y
IDCJAC0002,23034,1999,5,19,Y
IDCJAC0002,23034,1999,6,15.6,Y
IDCJAC0002,23034,1999,7,15.6,Y
IDCJAC0002,23034,1999,8,16.7,Y
IDCJAC0002,23034,1999,9,20.2,Y
IDCJAC0002,23034,1999,10,21.8,Y
IDCJAC0002,23034,1999,11,22.2,Y
IDCJAC0002,23034,1999,12,25.2,Y
IDCJAC0002,23034,2000,1,27.5,Y
IDCJAC0002,23034,2000,2,31.6,Y
IDCJAC0002,23034,2000,3,25.5,Y
IDCJAC0002,23034,2000,4,22.4,Y
IDCJAC0002,23034,2000,5,17.3,Y
IDCJAC0002,23034,2000,6,15.2,Y
IDCJAC0002,23034,2000,7,15.1,Y
IDCJAC0002,23034,2000,8,15.5,Y
IDCJAC0002,23034,2000,9,18.3,Y
IDCJAC0002,23034,2000,10,20.4,Y
IDCJAC0002,23034,2000,11,26.6,Y
IDCJAC0002,23034,2000,12,27.2,Y
IDCJAC0002,23034,2001,1,32.5,Y
IDCJAC0002,23034,2001,2,30.7,Y
IDCJAC0002,23034,2001,3,24.9,Y
IDCJAC0002,23034,2001,4,22,Y
IDCJAC0002,23034,2001,5,18.5,Y
IDCJAC0002,23034,2001,6,15.9,Y
IDCJAC0002,23034,2001,7,15.1,Y
IDCJAC0002,23034,2001,8,15.6,Y
IDCJAC0002,23034,2001,9,19.5,Y
IDCJAC0002,23034,2001,10,18.1,Y
IDCJAC0002,23034,2001,11,21.6,Y
IDCJAC0002,23034,2001,12,22.5,Y
IDCJAC0002,23034,2002,1,26.6,Y
IDCJAC0002,23034,2002,2,25.4,Y
IDCJAC0002,23034,2002,3,24.9,Y
IDCJAC0002,23034,2002,4,23.7,Y
IDCJAC0002,23034,2002,5,20.3,Y
IDCJAC0002,23034,2002,6,15.9,Y
IDCJAC0002,23034,2002,7,15.7,Y
IDCJAC0002,23034,2002,8,16,Y
IDCJAC0002,23034,2002,9,18.8,Y
IDCJAC0002,23034,2002,10,21.1,Y
IDCJAC0002,23034,2002,11,25,Y
IDCJAC0002,23034,2002,12,27.1,Y
IDCJAC0002,23034,2003,1,30.4,Y
IDCJAC0002,23034,2003,2,27.8,Y
IDCJAC0002,23034,2003,3,23.7,Y
IDCJAC0002,23034,2003,4,22.5,Y
IDCJAC0002,23034,2003,5,19.4,Y
